question,answer
"For Status epilepticus, treatment of choice is: September 2012",Lorazepam
Tonic neck relfex is lost in lesion of -,Medulla
CAMP acts through:,Activation of protein kinase
Antoni A & Antoni B Pattern's are seen in,Schwannoma
"Neurocysticercosis is treated by all the following drugs, EXCEPT -",Niclosamide
Signal from Baroreceptors goes to -,Nucleus of tractus solitarius
Characteristic feature of korsakoff psychosis is,Amnesia
"Terminal branches of facial nerve are all, EXCEPT:",Mandibular nerve
Which of the following is orexigenic?,Ghrelin
Redistribution phenomenon is seen in:,Thiopentone
Which of the following is used in exocytosis?,Ca
Nyctalopia is due to deficiency of,Vitamin A
Bilateral destruction of auditory cortex in man causes,Deficiency in interpretation of sounds
A 1 year old child is brought to you with delayed milestones. On examination you note that the child is very fair with hypopigmented hair and blue eye. He has also got eczemas. The child was also very irritable. What is your diagnosis?,Phenylketonuria
The nerve impulse which leads to initiation of smooth muscle contraction,Cause opening of the calcium channel which leads to increase in Ca+2 contraction
Tigroid white matter on MRI is seen in?,Pelizaeus-merzbacher disease
Which of the following is the Nysten's law,"Cadaveric rigidity affects successively the masticatory muscles, those of the face and the neck, those of the trunk and arms and finally those of lower limbs rruk"
Blockade of nerve conduction by a local anaesthetic is characterized by -,Need to cross the cell membrane to produce the block
Most common cranial nerve involved in ophthalmoplegic migraine is:,III nerve
Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone
The opercular poion of the cerebral coex that contains Broca's area is which of the following?,Inferior frontal gyrus
"All of the following statements about neuromuscular blockage produced by succinylcholine are true, except:",Fade on tetanic stimulation
A man is stuck with lathi on the lateral aspect of the head of the fibula. Which of the following can occur as a result of nerve injury,Loss of dorsiflexion
Buerger waves (alpha waves) of EEG have the rhythm per sec of -,13-Aug
Hypotension in acute spinal injury is due to:,Loss of sympathetic tone
"65-year-old man presents with anaemia and posterior column dysfunction, the likely cause is -",B12-deficit
"A 1-year-old boy presents with a delay in motor development. Progressive muscle weakness and blindness ensue, and the patient dies within a year. The brain at autopsy shows swollen neurons that contain numerous lysosomes filled with lipid. Which of the following is the most likely diagnosis?",Tay-Sachs disease
Bad trip is seen with which of the following drugs?,LSD
True about neuropraxia,Both
Agonistic action at which of the following adrenergic receptor result in the reduction of excess secretion,Alpha 2 receptor
Local anaesthetics :,Block the influx of sodium into the cell
Most common drug induced Extra Pyramidal Syndrome includes,Dystonia
The earliest manifestation of increased intracranial pressure following head injury is:,Altered mental status
Failure of migration of neural crest cells is seen in:,Congenital megacolon
Best prognosis in nerve injury,Neuropraxia
Dobutamine differs from dopamine in that,It does not activate peripheral dopaminergic receptors
A viral infection causes damage to both hippocampi in a patient. This damage would cause the patient to exhibit functional deficits in,Forming a new long-term memory
"A 25 year male presented with high grade fever, headache, neck stiffness, on examination found to have neck rigidity, kernig's sign positive, csf analysis showed neutrophilic predominance, low glucose and limulus amebocyte lysate assay was positive. Which of the following is the likely pathogen?",Neisseria meningitides
Most specific enzyme for mi is:,Cpk-MB
All are true about Klumpke's paralysis except,Claw hand is never seen
Which is not ketogenic,Methionine
Glossodynia is,Pain in the tongue
SACD (Subacute combined degeneration of cord) is feature of which vitamin deficiency?,Vitamin B12
Most common cause of facial nerve palsy:,Idiopathic Bell's palsy
Sinus of Morgagni is between:,Superior constrictor and skull
Lowest most level of integration of stretch reflex is at,Spinal cord
Wernicke&;s encephalopathy involves,Mammillary body
"When VA/Q is infinity, it means",Dead space
Ptosis is due to:,3rd CN palsy
Which of the following is not an action of epinephrine when administered intravenously in a high dose?,Causes broachiolar constriction
Initiation of nerve impulse occurs at the axon hillock because :,It has a lower threshold than the rest of axon
Most common LMN cause of Facial nerve palsy is?,Bell's palsy
Neurofibromatosis 1 criteria include all except:,Acoustic neuromas
Pain sensations from the ethmoidal sinus are carried by-,Nasocilliary Nerve
How much Potassium is present in the Ringer Lactate solution -,4 mEq/L
Bitemporal hemianopic field defect is characteristic of:,Pituitary tumor
Devic's disease is associated with,Aquaporin 4
A child brought to casualty with reports of violent shaking by parents. The most likely injury is?,Subdural haematoma
"""Inflation of lungs induces fuher inflation"" this is explained by",Head's paradoxical reflex
Most common cause of Acute Aseptic Meningitis in children is,Enterovirus
Pain relief in chronic pancreatitis can be obtained by destruction of,Celiac ganglia
The principal characteristics of attention-deficit/hyperactivity disorder are all of the following except one. Which one is the exception?,Mental retardation
Sixth cranial nerve palsy causes of left eye causes?,Diplopia in left gaze
Submandibular gland is crossed by which nerve?,Facial nerve
Characteristic visual field defect in optic chiasma lesion -,Bitemporal hemianopia
Most common cause of spontaneous sub-arachnoid haemorrhage is -,Berry aneurysm rupture
Drug of choice for OCD is?,Fluoxetine
Pyrogens act on which site of brain ?,Hypothalamus
Hypertrophy means -,Increase in size of cells
A patient was diagnosed with schizophrenia and was staed on haloperidol 5mg. On 3rd day he presented with uprolling of eyes. A complete neurological examination revealed no spasticity or any other abnormalities except uprolling of eyeballs. Visual acuity was found to be normal. What is your likely diagnosis?,Acute dystonia
Gateway of tears is:,Killians dehiscence
NREM sleep is associated with:-,All of the above
Apical transportation is also known as,Zipping
Pro - inflammatory cytokine is?,IL-1
"Depressor reflex, Bezold-Jarisch reflex, produced by the following stimulus:",Ventricular distension
Shape of birbeck granules is -,Tennis racket
"A 4-month-old infant has undergone surgical treatment for meningomyeloencephalocele. At bih, an operation was carried out in the posterior cranial fossa to paially replace brain cerebellar contents to an intracranial position. In investigations for progressive hydrocephalus, it is noted that there is herniation of the cerebellar tonsils through the foramen magnum, and a diagnosis of Arnold-Chiari syndrome is established. This syndrome may also include which of the following?",Abnormal elongation of the medulla and lower cranial nerves
Regarding glutathione which of the following is/are true:,It helps in membrane transpo
Fouh ventricle develops from?,Rhombencephalon
Lambda is meeting point of:,Sagittal and lambdoid suture
"CSF examination in a one day old term male infant with convulsions reveals cell count -- 10 RBCs/HPF, 50 cells; protein -- 70 mg/dl.; sugar -- 30 mg/dl/Blood sugar 40 mg/di The child is likely to be suffering from",Intracranial bleed
Epinephrine added to a solution of lignocaine for a peripheral nerve block will :,Increase the duration of action of the local anesthetic
Electron microscopy finding indicating irreversible cell injury is:,Flocculent densities in the mitochondria
Which of the following excludes painful stimuli from awareness?,Repression
"At the level of Arch of aoa, the relationship of left vagus nerve and left phrenic nerve?","Phrenic nerve anterior, vagus nerve posterior"
Which of the following tests is best for differentiating ACTH secreting pituitary tumour from Ectopic ACTH production?,High dose dexamethasone suppression test
All of the following causes coloured halos except,Retinal degeneration
"An elderly woman suffering from schizophrenia is on antipsychotic medication. She developed purposeless involuntary facial and limb movements, constant chewing and puffing of cheeks. Which of the following drugs is least likely to be involved in this side effect -",Clozapine
A man coming from a mountain whose wife died 6 months prior says that his wife appeared to him and asked him to join her. The diagnosis is,Grief psychosis
Ocular manifestation in giant cell arteritis?,Arteritic AION
The earliest manifestation of increased intrcranial pressure following head injury is,Altered mental status
"Intolerance to loud sound, nerve affected is",7th nerve
Which body pa is represented superiorly and medially within the postcentral gyrus?,Lower limb
Which test is used to compare kapian-meier survival curve-,Log rank test
Apoptotic bodies are,Cell membrane bound with organelles
"""La-facies sympathique"" is a condition seen in cases of",Hanging
"Which of the following will you like to give to a pregnant patient to decrease the risk of neural tube defects in the offspring, if your patient is receiving antiepileptic drugs ?",Folic acid
A person had injury to right upper limb he is not able to extend fingers but able to extend wrist and elbow. Nerve injured is -,Posterior interosseus
who introduced ECT,lucio bini
Which of the following is the most common cause of meningoencephalitis in children:,Enterovirus
Chandu 32 years male presents with abdominal pain and vomitting. He also complain of some psychiatric symptoms & visual hallucination. Most likely diagnosis is,Intermittent Porphyria
Baroreceptor stimulation producesa) Decreased heart rate & BPb) Increased heart rate & BPc) Increased cardiac contractilityd) Decreased cardiac contractility,ad
"A 47-year-old woman is admitted to the hospital with signs of cavernous sinus thrombosis. Radiographic examination reveals a pituitary tumor involving the cavernous sinus, confirming the initial diagnosis. During physical examination it is suspected that the right abducens nerve of the patient has been damaged by the tumor. In which direction will the physician most likely ask the patient to turn her right eye to confirm the abducens nerve damage, assuming she is unable to perform this task?",Outward
Which one of the following is a relatively selective α2 adrenergic blocker with short duration of action ?,Yohimbine
Oxidative deamination is catalyzed by ?,Glutamate dehydrogenase
Mechanism of action of the sulfonylureas is,K+ ATP channel blocker
"If GCS score is 8, head injury is classified as:",Severe
A person with eyes closed & mind wondering will have the following wave in,a-waves
Which of the following reflex is NOT prominent in child at bih?,Tonic neck reflex
NARP syndrome is seen in,A. Mitochondrial diseases
"A 68-year-old male is brought to the outpatient by his wife due to increasing forgetfulness. On taking history in details, wife repoed that for around 6 months patient is having trouble in organising the finances and paying bills, something he has done all his life. He has also become withdrawn and has decreased meeting people. The patient also behaved inappropriately with a female neighbour couple of says back, which is much against his usual nature. The patient denies having any problems and seems indifferent to his wife's concern. He has a medical history of hypeension and type 2 diabetes mellitus There is a family history of Alzheimer disease. On MMSE, score came out to be 23. Which of the following is the most likely diagnosis?",Frontotemporal dementia
Fatty acid present in breast milk which is important for growth and CNS development is:,Docosahexaenoic acid
"A 64-year-old lady Kamla complains of severe unilateral headache on the right side and blindness for 2 days. On examination, there is a thick cord-like structure on the lateral side of the head. The ESR is 80 mm / hr. in the first hour. The most likely diagnosis is :",Temporal arteritis
"A 44-year-old patient comes to his primary care physician complaining of double vision. On examination, he is unable to adduct or abduct his right eye- On further examination, he is also found to be unable to adduct his left eye. The remainder of the physical examination is normal.
which of the following is the most likely location of the patient’s lesion?",Left abducens nerve
Semicircular canals are stimulated by:,Rotation
INH induced neuropathy is treated with,Pyridoxine
Treatable causes of dementia are -a) Alzheimer's ds.b) Hypothyroidismc) Multi-infarct dementia d) SDH (subdural h'ge) e) Hydrocephalus,bde
The posterior cord of the Brachial plexus contains all except:,Long thoracic nerve of Bell
All of the following can lead to increased Intra cranial pressure accept -,Migraine
Why fetal cells continue to divide but terminally differentiated adult cells do not divide -,There are many cyclin inhibitors which prevent cell to enter into S phase in adult
Which aery does not contribute to little's area:,Posterior ethmoidal aery
Best prognostic factor for head injury is,A.Glasgow coma scale
Which of the following is a  K+ channel opener ?,Minoxidil
Which of the following is most characteristic of the brain in patients with Alzheimer’s disease,Neuronal loss in cerebral cortex
Which of the following is an amino neurotransmitter,GABA
Best method to remove confounding is,Stratified randomization
Nerve compressed by aneurysm of posterior communicating aery is,Occulomotor nerve
The maxillary nerve arises from the trigeminal ganglion in the middle cranial fossa. It passes forward in the lateral wall of the cavernous sinus and leaves the skull through which of the following foramen to enter the pterygopalatine fossa?,Foramen rotundum
An upper motor neuron (UMN) lesion involving cranial nerve VII would most likely produce,Contralateral weakness of the lower half of the face with sparing of the upper half of the face
Which is called nerve of Wrisberg,Sensory root of facial nerve
Botulism is a disease of ?,Neuromuscular transmission caused by the toxin of the bacterium clostridium botulinum
Persistent  and inappropriate repetition of response beyond the point of relevance is called,Perseveration
Coical representation of body in the cerebrum is,Veical
Gillette's space is:,Retropharyngeal space
Nucleosomes are,DNA+Histones
The structure that integrates impulses for eye-hand coordination is:,Superior colliculus
Angular vein infection causes thrombosis in:,Cavernous sinus
Commonest site of liquifactive necrosis is,Brain
The earliest manifestation of increased intracranial pressure following head injury is,Altered mental status
Nestritide is a -,Brain Natriuretic peptide analogue
"An alcoholic is brought to the casualty, 3 days after he quit alcohol, with the complaints of irrelevant talking. On examination, he is found to be disoriented to time, place and person. He also has visual illusions and hallucinations. There is no history of head injury. The most probable diagnosis is:",Delirium tremens
True regarding amaurosis fugax are all except:,Binocular lesion
Which of the following antismoking drugs can lead to suicidal ideation?,Varenicline
All true about conus syndrome except,Absent knee and ankle jerks
The Efferent fibers bundle of the substantia nigra transmits dopamine to one of the following areas,Corpus striatum
Maternal disomy of chromosome 15 is seen in,Prader - Willi syndrome
Neostigmine antagonizes non depolarising blockade by all of the following mechanism except,Decreasing the breakdown of acetyl choline at the motor end plate
True about peripheral nerve injury in upper limb-a) Radial nerve injury cause anaesthesia over anatomical snuff boxb) Median nerve injury cause wrist dropc) Ulnar nerve injury cause claw handd) Index finger anesthesia is caused by median nerve injurye) Thumb anaesthesia is caused by ulnar nerve injury,acd
A 65yr old male with his of Diabetes and HTN presents Ito OPD with complaints of diplopia and squint on examination secondary detion is seen to be more than primary detion Which of the following is the most probable diagnosis,Paralytic squint
All are true regarding Primary CNS lymphoma except:,Radiotherapy and chemotherapy is of no value
"A 7-year-old boy, Manoj underwent successful chemotherapy and cranial radiation for the treatment of acute lymphocytic leukemia. One month after the completion of therapy, the patient presented with excessive thirst and urination plus hypernatremia. Laboratory testing revealed pituitary diabetes insipidus. To corect these problems, this patient is likely to be treated with:",Desmopressin
In children which of the following virus has been implicated in the pathogenesis of choroid plexus tumour?,Simian virus 40
The minimal current amplitude of indefinite durationrequired for the depolarization threshold of the cell membranes is:,Rheobase
Most common site of intracranial hemorrhage in hepertensive hemorrhage is -,Basal ganglia
Which of the following agents is likely to cause cerebral calcification and hydrocephalus in a newborn whose mother has history of taking spiramycin but was not compliant with therapy?,Toxoplasmosis
"A 48-year-old man complains of recurrent episodes of sudden-onset dizziness. He notices an abrupt onset of a ""spinning"" sensation when sitting up or lying down in bed. The symptoms last for 30 seconds and then resolve completely. He has no hearing change or other neurologic symptoms, and his physical examination is completely normal. A Dix-Hallpike maneuver reproduces his symptoms. Which of the following is the most likely mechanism for his vertigo symptoms?",calcium debris (calcium carbonate crystals) in the semicircular canals
Excitatory Neurotransmitter in CNS-,Glutamate
SSRIs should be carefully used in the young for the management of depression due to increase in:,Suicidal ideation
The ratio of ICF volume to Extracellular fluid volume reaches adult values at the age of,1 year
Resting membrane potential of nerve is equal to equilibrium potential of,Cl-
Which of the following is not a second messenger,Guanylyl cyclase
Two or more oligoclonal bands in cerebrospinal fluid are most often positive in-,Multiple sclerosis
Treatment of choice for generalized anxiety disorder is?,Benzodiazepines
"Base of the skull fracture presents with involvement of the petrous temporal bone, which of the following important sign:",Battle sign
Which of the following is produced in the lipoxygenase pathway?,Leukotrienes
"To be defined as a ganglioside,a lipid substance isolated from nervous tissue must contain","NANA,hexose,sphingosine,long chain fatty acid,"
Mechanism of action of vincristine in the treatment of ALL is:,Inhibition of polymerization of tubulin to form microtubules
All are true about ketone bodies except,HMG CoA reductase is the rate-limiting enzyme
"A 62-year-old man is admitted to the hospital with dull, diffuse abdominal pain. A CT scan reveals a tumor at the head of the pancreas. The abdominal pain is mediated by afferent fibers that travel initially with which of the following nerves?",Greater thoracic splanchnic
Superior Gluteal Nerve supplies ail except:,Gluteus Maximus
Antihypertensive may act by blocking all of following except:,ATP dependent K+  channels
The major vitamin deficiency in Wernicke's encephalopathy is :,B1
Who among the following has contributed to the development of neuro-otology and is considered as the father of 'nen ro-otology'?,William F. House
"A male was brought unconscious to the hospital with external injuries. CT shows no midline shift, but basal cisterns were full (compressed) with multiple small haemorrhage. The most probable diagnosis is:",Diffuse axonal injury
Which of the following is false regarding neoplastic compressive myelopathy?,Most neoplasms are subdural in origin
Triplet repeats in Fragile X -syndrome is?,CGG
Northern blot is used for identification of: (Repeat),RNA
Which of the following receptors is activated by acetylcholine and blocked by atropine.,Muscarinic
"A 1.5 year old female is brought to the clinic with complaints of excessive enlargement of head, intolerance to feeds and severe malnourishment. MRI imaging was suggestive of a medulloblastoma causing obstructive hydrocephalus. Which of the following is an example of irrational manattem,-the patient?",Radiotherapy 35-40 Gy was given to the whole craniospinal axis
What is seen in neurogenic shock ?,Bradycardia and hypotension
The antiepileptic drug effective in Lennox-Gastaut syndrome is:,Lamotrigine
TRUE/FALSE statements about radial nerve is/are: 1. Branch of posterior cord 2. Nerve of extensor compament of forearm 3. Arise from C5 - T1 4. Anterior interosseous nerve is a branch of it 5. Supply skin of extensor compament,"1,2,3,5 true & 4 false"
"Which of the following is the ""Least common"" complication of measles-",SSPE
"Which cranial nerve(s) is/are not involved in ""Locked in syndrome""?",11
A case of injury to right brow due to a fall from scooter present with sudden loss of vision in the right eye.The pupil shows absent direct reflex but a normal consensual pupillary reflex is present. The fundus is normal. The treatment of choice is-,Intensive intravenous corticosteroids as prescribed for spinal injuries to be instituted within six hours
Spinal cord in an infant terminates at,L3
What is the common change in cell death associated with both apoptosis and necrosis ?,Chromatin condensation
Which of the following dings is not used for anxiety?,Haloperidol
The adverse effect of clozapine -,Sialorrhea
Conduction velocity in AV node 8c SA node-,0.05 meter/sec
"A patient presented with 2 months history of increased ICP, with massive parietal edema, CT/MRI shows single and were circumscribed region lesion",Granuloma
All of the following are known predisposing factors for Alzheimer's disease except :,Smoking
Action of alpha subunit of G-protein is:,Breakdown of GTP to GDP
The commonest cranial nerve involved in acoustic neuroma is:,VIII
What are the minimum and maximum possible values of Glasgow Coma Score?,"Minimum = 3, Maximum = 15"
Dye used for myelography,Myodil
A decrease in which of the following parameters will shift the O2 dissociation curve to the right?,pH
Lancinating pain around the tonsils during eating is indicative of,Glossopharyngeal neuralgia
Drug with membrane stabilizing activity is?,Oxprenolol
A triphasic withdrawal syndrome follows an abrupt discontinuation of ______ use.,Cocaine
Which is the commonest abdominal mass in neonate -,Neuroblastoma
A patient gets tingling when his bed light is flashed suddenly. Which type of hallucination is this :,Reflex hallucinations
Mydriasis is/are caused by:,Atropine
"The parietal peritoneum covering the inferior surface of the diaphragm transits its sensory information via the phrenic nerve. In the case of peritonitis in the parietal peritoneum on the inferior surface of the diaphragm, pain may be referred through which of the following nerves?",D
Persistence of Moro's reflex is abnormal beyond the age of –,6th month
"A 20 year old boy c/o hearing of voices, aggressive behavior since 2 days. He has fever since 2 days. When asked to his family, they says that he has been muttering to self and gesticulating. There is no h/o of psychiatric illness. Likely diagnosis is",Acute psychosis
Absence seizures are seen in:,Petitmal epilepsy
Which one of the following statements about the gap junction is true?,It permits the passage of ions from one cell to an adjacent cell.
"The virus, which spreads by both hermatogenous and neural route is -",Poliovirus
Drug of choice for absence seizures: March 2011,Valproate
The commonest cranial nerve palsy in tabes dorasalis is:,III nerve
Clathrin is used in:,Receptor mediated endocytosis
An elderly patient complains of recurrent episodes of amaurosis fugax. This is attributable to microembolization of which of the following?,Retinal artery
Presence of hemiplegia with diminution of vision in the contralateral eye suggests occlusion of: September 2012,Internal carotid aery
"Milk ejection is facilitated by:March 2007, March 2013",Oxytocin
Anterior spinal artery is a branch of,Vertebral artery
Baroreceptors stimulation would result in,Decrease in blood pressure
True regarding respiratory centre,Connected with cardiac center
Which of the following is not a derivative of amino acid tyrosine,Melatonin
Obstruction to the flow of CSF at the aqueduct of Sylvius will most likely lead to enlargement of -,Both lateral and third ventricles
The stabbing nature of pain in trigeminal neuralgia mimics pain caused by,A cracked tooth
Which of the following statements about the pathology in Alzheimer's disease is not true:,NFTs appear extracellularly before intracellular appearance
"In depression, there is deficiency of :",5–HT
"Port wine stain of the face, seizures, hemiparesis, intracranial calcification and glaucoma are features of?",Sturge-Weber syndrome
Weight range of adrenal glands in most of cases of cushing's disease is -,25-40 gm
Middle meningel vessel damage results in -,Epidural hemorrhage
Annexin V is associated with which of the following?,Apoptosis
Which of the following drug causes Pseudotumour cerebri -,Tetracycline
All can cause peripheral neuropathy except,Hypothyroidism
". In the fed state, major fate of Glucose 6-PO4 in tissues is :",Storage as glycogen
Speed of rabies virus progress in axon is,250 mm/day
Pineal gland forms ?,Posterior wall of thrid ventricle
All the above loud S1 caused by,Sho PR interval
What is the age limit for further developmental assessment in a child not reaching for objects,9 months
Chemoreceptor Trigger Zone is:,Area postrema
A person with defective blue color appreciation is called ?,Tritanomalous
MC side effect of lithium: March 2003,Fine tremors
Verocay bodies are seen in,Shwannoma
The fibers of the coicospinal tract pass through which structure?,Medullary pyramid
"Which of the following is the ""Least common"" complication of measles -",SSPE
Drug of choice for obsessive - compulsive neurosis is :,Clomipramine
Phelp's sign is seen in:,Glomus jugulare
Fastest acting receptor/transduction mechanism is,Intrinsic ion channel operation
Which structure is not transmitted by foramen ovale?,Middle meningeal artery
Which of the following is not carried in dorsal column of spinal cord:March 2011,Heat sensation
"Homonymous hemianopia may be seen in lesion of all of the following, EXCEPT:",Optic chiasma
Age related dementia has been associated with increased levels of,Homocysteine
"All are true regarding brachial plexus injury, except:",Preganglionic lesions have a better prognosis than postganglionic lesions
Pyramids are formed by,Lateral coicospinal tract
"All of the following are habbit disorders, except:",Tics
Hypnagogic hallucinations are seen in,Narcolepsy
A baby is born with a large defect in the occipital bone through which the posterior poion of the brain has herniated. Which of the following terms best describes this lesion?,Encephalocele
Annexin V is associated with :,Apoptosis
Maintainence of BP according to intracranial pressure is-,Cushing reflex
"A 5-year-old child presents with confusion, increased salivation, lacrimation, fasciculations, miosis, tachycardia, and hypotension. Which of the following poisons can cause these manifestations?",Organophosphorus
Which of the following does not result in the release of nitric oxide,Fenoldopam
"A 8 years boy with headache, supracellar mass, with bilateral hemianopia, showing the following MRI scan of head. What is the diagnosis",Craniopharyngioma
"A 40 year old female reports of sudden bouts of anxiety which would occur anytime and associated with sweating, palpitation, derealization, and feeling of going crazy. These episodes would last for 20 -25 minutes. So much so that she fears of having these episodes in future. All routine investigations are normal. What is the diagnosis?",Panic disorder
Which of the following change occur secondary to hypercarbia?,Hypeension
Sumatriptan exerts antimigraine action through which receptors?,5HT1D/1B
Norepinephrine is metabolized by which of the following enzymes,Both
Which of the following is not a stimulus for normal/resting ventilation?,J receptors
"Open anterior fontanelle, bruit present. Midline lesion in brain diagnosis -",Malformation of vein of galen
Optic atrophy can be caused by....poisoning :,Methyl alcohol
"In an RTA, a patient sustained soft tissue and Brachial plexus injuries with nerve affected in weakness of extensors of entire arm, forearm, hand with shoulder flexion, and extension. This is suggestive of involvement of",C5 to T1
Conduction velocity of nerves is NOT affected by which of the following?,Motor neuron disease
Which of the following indications of deep brain stimulation is not FDA approved?,Major depression
Autoantigen is ?,
What is the major source of extracellular cholesterol for human tissues?,Low-density lipoproteins (LDLs)
Hallucinations are -,Perception occurring without external stimulation
The CNS tumor present with calcification:,Oligodendroglioma
The major difference between typical and atypical antipsychotics is that,The former cause tardive dyskinesia
Opsomyoclonus is encountered as C/F of-,Neuroblastoma
"""Inflation of lungs induces fuher inflation"" is explained by:",Head's paradoxical reflex
Merkels cells of Epidermis are derived from,Neural crest
"A 60-year-old man with diabetes acutely develops double vision and discomfort in his left eye. On examination, there is ptosis of the left eyelid, the eye is rotated down and out, and the pupil is 3 mm and reactive to light. The right eye is normal. Which of the following is the most likely diagnosis?",third nerve palsy
"A young male presents with fever, followed by headache, confusion, focal seizures and right hemiparesis. MRI shows bilateral frontotemporal hyperintense lesion. Which of the following is the most likely diagnosis?",Herpes simplex encephalitis
Absense of taste sensation is termed as:,Ageusia
"An elderly house wife lost her husband who died suddenly of Myocardial infarction couple of years ago. They had been staying alone for almost a decade with infrequent visits from her son and grandchildren. About a week after the death she heard his voice clearly talking to her as he would in a routine manner from the next room. She went to check but saw nothing. Subsequently she often heard his voice conversing with her and she would also discuss her daily matters with him. This however, provoked anxiety and sadness of mood when she was preoccupied with his thought. She should be treated with:",Haloperidol.
Which of the following enzyme of TCA cycle is analogous to Pyruvate dehydrogenase complex?,Alpha ketoglutarate dehydrogenase
Auditory area located in which lobe:,Temporal
Which vitamin required for hydroxylation of proline,C
Afferents to basal ganglia rests in,Striatum
The most impoant stimulant of respiratory centre is:,Decrease Pao2
Sensory supply for skin over angle of jaw is,Cervical plexus
The fastest type of nerve fibers are,A
Transection of the brain stem at the mid-pontine level with bilateral vagotomy causes ______,Apneusis
Which of the following is true about colour vision,Involves opponent colour cells
Na-K ATPase,3 Na out / 2K in
Auditory pathway passes through -,Medial geniculate body
Which of the following does not undergo phosphorylation by protein kinases?,Asparagine
"A 50-year-old woman presents with easy fatigability, a smooth sore tongue, numbness and tingling of the feet, and weakness of the legs. A complete blood count shows a megaloblastic anemia that is not reversed by folate therapy. Hemoglobin is 5.6 g/dL, WBC count is 5,100/mL, and platelets are 240,000/mL. This patient most likely has a deficiency of which of the following vitamins?",Vitamin B12
Posterior limb of internal capsule is supplied by all except,Recurrent aery of Heubner
"In prayer Willi syndrome, which of the following is increased",D. Ghrelin
Brain abscess in cyanotic heart disease is commonly located in,Parietal lobe
Prolonged apnea may occur in patients with a genetically determined abnormal variant of cholinesterase following intravenous administration of,Succinylcholine
The incidence of mental illness is the maximum if the causal factors affect a paicular period -,First five years of life
"Brain dead individuals have all of the following features EXCEPT (* NIMHANS March-2017 Post-MBBS, NIMHANS - Feb. 2008)",Only pain is preserved
The rate of formation of CSF per day:,5000 c.c.
Cells are most sensitive to radiation in:,G2 phase
Musculature of first pharyngeal arch is supplied by which cranial nerve?,V
which of the following antidepressent causes hypeensive crisis,phenelezine
The control for mastication is normally exercised by,Sub cortical centres
